,country,stars,date
754,United Kingdom,1,2018-12-13
755,Canada,2,2018-12-11
756,United Kingdom,1,2018-12-11
757,Malaysia,10,2018-12-10
758,United Kingdom,1,2018-12-09
759,Ireland,10,2018-12-09
760,United Kingdom,2,2018-12-09
761,United States,1,2018-12-07
762,United Kingdom,7,2018-12-05
763,United Kingdom,3,2018-12-03
764,Ghana,9,2018-11-30
765,United Kingdom,3,2018-11-30
766,Germany,2,2018-11-28
767,United Kingdom,1,2018-11-27
768,United Kingdom,9,2018-11-27
769,United Kingdom,2,2018-11-22
770,Canada,7,2018-11-22
771,United States,1,2018-11-21
772,Switzerland,4,2018-11-20
773,France,1,2018-11-17
774,United States,8,2018-11-16
775,Sweden,5,2018-11-16
776,Netherlands,1,2018-11-14
777,United Kingdom,1,2018-11-12
778,Saudi Arabia,1,2018-11-10
779,United Kingdom,1,2018-11-06
780,Australia,1,2018-11-05
781,Hungary,3,2018-11-04
782,United Kingdom,7,2018-11-02
783,Australia,4,2018-11-01
784,United Kingdom,3,2018-10-28
785,United States,1,2018-10-27
786,United Kingdom,9,2018-10-26
787,United Kingdom,9,2018-10-25
788,United States,3,2018-10-25
789,Spain,8,2018-10-24
790,Germany,4,2018-10-23
791,France,2,2018-10-23
792,Germany,5,2018-10-22
793,United Kingdom,9,2018-10-22
794,Netherlands,1,2018-10-21
795,Canada,2,2018-10-18
796,Austria,2,2018-10-17
797,Belgium,3,2018-10-17
798,Singapore,8,2018-10-17
799,United Kingdom,2,2018-10-15
800,United Kingdom,4,2018-10-13
801,United States,1,2018-10-07
802,Canada,1,2018-10-06
803,United Kingdom,2,2018-10-01
804,Netherlands,10,2018-09-28
805,Germany,9,2018-09-28
806,Ireland,1,2018-09-26
807,United Kingdom,6,2018-09-25
808,United States,1,2018-09-24
809,Malaysia,7,2018-09-20
810,United Kingdom,6,2018-09-18
811,United Kingdom,3,2018-09-17
812,United Kingdom,1,2018-09-16
813,Germany,2,2018-09-16
814,Saudi Arabia,10,2018-09-16
815,United States,7,2018-09-15
816,United States,6,2018-09-14
817,United Kingdom,9,2018-09-12
818,United Kingdom,1,2018-09-11
819,Brazil,8,2018-09-10
820,United Kingdom,4,2018-09-10
821,United Kingdom,3,2018-09-08
822,Australia,2,2018-09-08
823,United Kingdom,7,2018-09-07
824,United Kingdom,8,2018-09-06
825,United Kingdom,7,2018-09-05
826,Canada,10,2018-09-03
827,United Kingdom,1,2018-08-30
828,Singapore,1,2018-08-29
829,Germany,4,2018-08-29
830,United States,5,2018-08-28
831,United Kingdom,7,2018-08-23
